Joseph,Will
Team,Result,Score,Score,Result,Team
Kings,W-2OT,81,79,L,Thunder
Heat,W,52,40,L,Magic
76ers,L,50,54,W,Lakers
Warriors,W,57,52,L,Celtics
Hornets,W,54,44,L,Spurs
Suns,W,60,53,L,Warriors
Trailblazers,W,64,38,L,Pistons
Timberwolves,W,61,56,L,Warriors
Rockets,W,46,45,L,Jazz
Bucks,L,43,46,W,Thunder
Bobcats,L,52,55,W,Kings
Suns,W,53,48,L,Pacers
Celtics,W,55,51,L,Thunder
Mavericks,W,45,42,L,Bucks
Thunder,W,50,44,L,Kings
Hornets,L,55,59,W,Suns
Magic,L,50,54,W,Bulls
Suns,L,54,56,W,Mavericks
Hornets,L,49,55,W,Rockets
Nets,L,58,59,W,Magic
Bucks,L,56,60,W,Celtics
Celtics,L,58,61,W,Heat
Lakers,W,68,44,L,Clippers
Nuggets,L,50,59,W,Kings
Heat,W-OT,65,64,L,Thunder
Pistons,L,56,66,W-OT,Hornets
Bucks,L,62,66,W-OT,Warriors
