Joseph,Will
Team,Result,Score,Score,Result,Team
Kings,W-2OT,81,79,L,Thunder
Heat,W,52,40,L,Magic
76ers,L,50,54,W,Lakers
Warriors,W,57,52,L,Celtics
Hornets,W,54,44,L,Spurs
Suns,W,60,53,L,Warriors
Trailblazers,W,64,38,L,Pistons
Timberwolves,W,61,56,L,Warriors
Rockets,W,46,45,L,Jazz
Bucks,L,43,46,W,Thunder
Bobcats,L,52,55,W,Kings
Suns,W,53,48,L,Pacers
Celtics,W,55,51,L,Thunder
Mavericks,W,45,42,L,Bucks
Thunder,W,50,44,L,Kings
Hornets,L,55,59,W,Suns
Magic,L,50,54,W,Bulls
Suns,L,54,56,W,Mavericks
Hornets,L,49,55,W,Rockets
Nets,L,58,59,W,Magic
Bucks,L,56,60,W,Celtics
Celtics,L,58,61,W,Heat
Lakers,W,68,44,L,Clippers
Mavericks,W,55,54,L,Heat
Heat,L,53,55,W,Mavericks
Heat,L,53,55,W,Mavericks
Heat,L,53,55,W,Mavericks
Heat,L,53,55,W,Mavericks
Mavericks,W-OT,55,33,L,Heat
Mavericks,L,64,66,W-OT,Heat
Heat,W3-OT,90,88,L,Mavericks
Heat,W-3OT,91,88,L,Mavericks
dd,L,d,d,W-dOT,d
f,L,f,f,W-fOT,f
g,L,g,g,W-ggOT,
,L,,,W-OT,
,L,fd,g,W-hOT,
v,L,z,f,W-fOT,c
f,L,f,f,W-jOT,f
,L,5,5,W,
,L,5,5,W,5
a,L,55,54,W,M
dsf,L,54,55,W,Mavericks
ds,L,54,55,W,Mavericks
,L,44,55,W,Mavericks
,L,55,55,W,76ers
,L,44,55,W,Mavericks
Heat,L,53,67,W-2OT,Clippers
Pistons,L,100,98,W-OT,Heat
Heat,L,54,55,W,Heat
